Left Pupil X,Left Pupil Y,Right Pupil X,Right Pupil Y
262,221,398,223
268,218,399,220
273,217,401,220
273,217,401,220
273,217,401,220
274,217,402,220
274,219,403,222
276,220,405,223
277,219,405,222
278,219,406,222
279,219,408,222
280,219,409,223
281,219,409,222
281,219,410,222
282,219,410,223
282,219,410,223
282,220,410,224
281,220,410,224
281,220,409,224
280,221,408,225
279,222,407,225
279,223,407,226
279,223,408,226
280,224,408,227
280,224,409,227
280,224,409,228
281,225,409,227
281,225,409,228
281,226,410,229
281,227,410,229
282,227,411,229
282,228,411,230
282,228,411,231
283,229,412,231
283,230,412,232
284,229,412,231
284,228,413,231
285,227,413,230
285,226,413,229
285,225,413,228
286,224,413,228
286,224,414,227
287,223,414,226
287,223,414,226
287,223,414,226
287,222,414,226
287,223,414,226
287,223,413,226
286,222,413,226
286,223,413,226
286,223,413,227
286,223,413,227
280,225,410,228
278,227,406,230
278,228,406,231
278,228,406,231
279,228,406,232
278,229,406,232
279,229,407,233
279,228,407,231
278,228,407,231
278,227,406,230
279,227,407,230
279,226,407,231
279,227,407,230
279,226,407,230
280,226,408,229
280,226,408,229
281,226,409,230
281,226,410,230
282,226,410,230
281,225,411,229
282,226,411,230
282,225,411,230
281,225,411,230
281,225,411,230
282,225,411,229
281,224,411,229
281,224,410,229
280,223,409,228
280,222,408,227
280,222,409,227
279,222,408,227
279,222,408,227
278,222,407,226
278,222,407,226
278,222,407,226
278,223,407,227
278,222,407,227
277,222,406,227
277,223,406,227
276,224,405,228
276,223,405,228
276,223,405,228
275,223,404,227
274,224,404,228
274,224,403,228
273,225,403,228
274,225,403,229
274,226,403,229
273,227,404,230
273,227,404,231
273,227,404,230
273,227,404,231
273,227,405,230
273,227,405,230
273,227,405,230
272,227,404,230
271,226,404,229
271,226,404,229
271,227,404,230
270,228,404,231
270,228,404,231
271,229,404,231
271,228,405,230
271,228,405,230
271,228,405,231
271,229,406,231
272,229,406,232
272,229,406,232
272,229,407,231
272,228,407,231
272,228,407,231
272,229,407,231
272,230,408,232
273,229,408,231
273,229,408,231
273,229,409,231
273,229,409,231
273,230,409,232
273,230,409,232
273,230,409,232
273,229,409,231
273,229,409,231
274,229,409,231
273,229,409,231
273,229,409,232
273,229,409,231
273,228,409,231
273,228,409,230
273,228,409,230
274,228,409,230
273,228,409,230
273,228,409,230
273,228,408,230
273,228,408,229
272,227,407,229
272,227,407,229
272,227,407,229
272,227,407,229
272,227,407,229
271,227,407,229
271,227,407,229
271,227,407,229
271,228,407,229
271,228,406,229
271,227,406,229
271,227,406,228
271,227,406,228
271,227,407,228
271,227,407,228
271,227,407,229
272,228,406,229
272,228,406,229
271,229,406,230
272,229,406,231
272,230,406,231
273,230,407,231
273,230,407,232
273,230,407,232
274,230,407,231
274,230,407,231
275,230,407,232
275,231,406,232
276,230,406,231
276,230,406,231
276,230,405,231
276,231,404,232
275,232,403,233
274,233,401,234
274,233,400,234
273,233,398,233
273,232,396,233
272,232,395,232
271,231,393,231
271,230,391,230
270,228,389,229
270,227,388,227
270,226,387,225
269,226,386,225
269,225,385,225
268,225,384,224
268,223,383,223
267,222,382,221
267,221,382,220
268,221,381,220
267,222,381,220
268,221,381,220
